iter	Passed	Remaining
154	2330	3683
155	2345	3668
156	2360	3653
157	2375	3638
158	2391	3624
159	2406	3609
160	2422	3595
161	2436	3579
162	2451	3564
163	2466	3549
164	2481	3533
165	2496	3518
166	2510	3503
167	2526	3489
168	2540	3473
169	2555	3457
170	2570	3442
171	2585	3427
172	2602	3414
173	2617	3399
174	2631	3383
175	2646	3367
176	2660	3352
177	2675	3336
178	2690	3321
179	2705	3306
180	2720	3292
181	2735	3276
182	2750	3260
183	2765	3246
184	2780	3231
185	2796	3217
186	2811	3202
187	2825	3186
188	2840	3171
189	2855	3156
190	2870	3141
191	2885	3126
192	2901	3111
193	2916	3097
194	2931	3082
195	2946	3067
196	2962	3052
197	2977	3037
198	2992	3022
199	3007	3007
200	3024	2994
201	3039	2979
202	3054	2964
203	3069	2949
204	3083	2933
205	3099	2918
206	3115	2904
207	3130	2889
208	3144	2873
209	3158	2857
210	3173	2843
211	3188	2827
212	3203	2812
213	3219	2798
214	3235	2783
215	3250	2768
216	3264	2753
217	3280	2738
218	3295	2723
219	3310	2708
220	3326	2694
221	3341	2679
222	3357	2665
223	3373	2650
224	3387	2635
225	3403	2620
226	3417	2604
227	3433	2590
228	3449	2575
229	3464	2560
230	3479	2545
231	3494	2530
232	3508	2515
233	3523	2499
234	3538	2484
235	3553	2469
236	3569	2454
237	3583	2439
238	3598	2423
239	3612	2408
240	3626	2392
241	3641	2377
242	3657	2362
243	3671	2347
244	3686	2332
245	3701	2317
246	3715	2301
247	3730	2286
248	3745	2271
249	3760	2256
250	3775	2241
251	3789	2225
252	3804	2210
253	3819	2195
254	3834	2180
255	3850	2165
256	3864	2150
257	3880	2135
258	3895	2120
259	3910	2105
260	3924	2090
261	3941	2076
262	3956	2061
263	3971	2046
264	3986	2031
265	4002	2016
266	4017	2001
267	4031	1985
268	4046	1970
269	4061	1955
270	4077	1941
271	4092	1925
272	4107	1910
273	4121	1895
274	4139	1881
275	4155	1867
276	4172	1852
277	4187	1837
278	4202	1822
279	4217	1807
280	4232	1792
281	4247	1777
282	4262	1762
283	4278	1747
284	4294	1732
285	4309	1717
286	4325	1703
287	4342	1688
288	4358	1673
289	4373	1658
290	4387	1643
291	4402	1628
292	4418	1613
293	4434	1598
294	4449	1583
295	4464	1568
296	4479	1553
297	4494	1538
298	4511	1523
299	4526	1508
300	4541	1493
301	4556	1478
302	4572	1463
303	4586	1448
304	4601	1433
305	4615	1417
306	4630	1402
307	4646	1387
308	4660	1372
309	4674	1357
310	4689	1341
311	4704	1326
312	4720	1312
313	4735	1296
314	4750	1281
315	4765	1266
316	4780	1251
317	4795	1236
318	4810	1221
319	4826	1206
320	4842	1191
321	4856	1176
322	4871	1161
323	4886	1146
324	4901	1131
325	4916	1116
326	4928	1100
327	4950	1086
328	4965	1071
329	4980	1056
330	4995	1041
331	5009	1025
332	5024	1010
333	5039	995
334	5055	980
335	5070	965
336	5086	950
337	5101	935
338	5116	920
339	5131	905
340	5145	890
341	5161	875
342	5176	860
343	5192	845
344	5208	830
345	5221	814
346	5236	799
347	5250	784
348	5265	769
349	5280	754
350	5295	739
351	5310	724
352	5326	709
353	5341	694
354	5357	679
355	5372	663
356	5386	648
357	5401	633
358	5416	618
359	5431	603
360	5448	588
361	5463	573
362	5474	558
363	5489	542
364	5505	527
365	5521	512
366	5535	497
367	5550	482
368	5565	467
369	5580	452
370	5595	437
371	5611	422
372	5626	407
373	5642	392
374	5657	377
375	5673	362
376	5689	347
377	5704	331
378	5718	316
379	5733	301
380	5747	286
381	5762	271
382	5776	256
383	5792	241
384	5807	226
385	5822	211
386	5837	196
387	5852	180
388	5867	165
389	5880	150
390	5894	135
391	5909	120
392	5925	105
393	5940	90
394	5954	75
395	5969	60
396	5984	45
397	5999	30
398	6013	15
399	6028	0
