iter	Logloss
0	0.6873047225
1	0.6814431794
2	0.6757846514
3	0.6701873207
4	0.6648256365
5	0.6593561522
6	0.6541867638
7	0.6490660063
8	0.6440527948
9	0.6390090752
10	0.6343157546
11	0.629644537
12	0.6250514189
13	0.620747242
14	0.6162973976
15	0.6121013323
16	0.608012104
17	0.6040577126
18	0.6000923634
19	0.5959721502
20	0.5923519421
21	0.5888752715
22	0.5851213614
23	0.5814872678
24	0.57792243
25	0.5746364848
26	0.5714797115
27	0.5683438079
28	0.5651989015
29	0.5620569038
30	0.5589308548
31	0.5560966396
32	0.5532827918
33	0.5505321916
34	0.5477723535
35	0.5451747195
36	0.5426158428
37	0.5399484984
38	0.5374810219
39	0.5351694902
40	0.5328327179
41	0.5304329967
42	0.5280453873
43	0.5259196281
44	0.5237207699
45	0.5214762211
46	0.5194239394
47	0.5172681332
48	0.5151299286
49	0.5131016413
50	0.5111763223
51	0.509269495
52	0.5073244794
53	0.5055377356
54	0.5037014103
55	0.5019813093
56	0.5003054937
57	0.4987206141
58	0.4970772235
59	0.4954286226
60	0.4939590708
61	0.4924940491
62	0.4908821424
63	0.4893055121
64	0.4879268106
65	0.4865447585
66	0.4850779533
67	0.4837539514
68	0.4823931503
69	0.4810900942
70	0.479704024
71	0.4784591134
72	0.4772901122
73	0.4762022877
74	0.4750093714
75	0.4738948091
76	0.4727115027
77	0.4716017596
78	0.4705187893
79	0.4694563516
80	0.4683861383
81	0.4675160154
82	0.4665958881
83	0.465559241
84	0.4645902952
85	0.4635906633
86	0.4627572091
87	0.4617796961
88	0.4606992817
89	0.4598733711
90	0.4590078608
91	0.4580892785
92	0.4572395325
93	0.4565436999
94	0.4555426661
95	0.4548116684
96	0.4542237155
97	0.4534707705
98	0.4529220136
99	0.4521114063
100	0.4513914649
101	0.4505868816
102	0.4499315246
103	0.4493182294
104	0.4486353493
105	0.447982165
106	0.4472944736
107	0.4467979749
108	0.446122303
109	0.4455016534
110	0.4449241098
111	0.444339172
112	0.4437184525
113	0.4432491843
114	0.4426106278
115	0.4421211195
116	0.4416489712
117	0.4411366367
118	0.4406702725
119	0.4402445984
120	0.4397232119
121	0.4392505646
122	0.4387949451
123	0.4385100714
124	0.4381082233
125	0.437714173
126	0.4372411156
127	0.4367087396
128	0.4362785769
129	0.4357994843
130	0.4352931817
131	0.4348569107
132	0.4344325781
133	0.4339325507
134	0.4334729449
135	0.4330956729
136	0.4327739811
137	0.4323641841
138	0.4320245647
139	0.4316977994
140	0.4312573926
141	0.430873421
142	0.4305019061
143	0.4301116101
144	0.4298057302
145	0.4293636481
146	0.4290161546
147	0.4286497434
148	0.4282886616
149	0.4279242468
150	0.4275921011
151	0.4272769499
152	0.4269843403
153	0.426676294
154	0.4263427877
155	0.4259599193
156	0.4256904395
157	0.4254723994
158	0.4252643712
159	0.4249527534
160	0.4246068462
161	0.4243941561
162	0.4241318226
163	0.4238758421
164	0.4235748943
165	0.4233174912
166	0.423024346
167	0.4226701419
168	0.4224025774
169	0.4222032038
170	0.4219631433
171	0.4217473396
172	0.421432778
173	0.4211298132
174	0.4209048557
175	0.4207405361
176	0.4205000178
177	0.4202096589
178	0.4199172242
179	0.4196354103
180	0.4194426171
181	0.4191984081
182	0.4189583731
183	0.4187882884
184	0.4185643737
185	0.4182799323
186	0.4180740738
187	0.4179068867
188	0.4176598708
189	0.4174235392
190	0.417123065
191	0.4168804137
192	0.4165265258
193	0.4163756355
194	0.4161842155
195	0.4159587129
196	0.4157595158
197	0.415535512
198	0.4153737911
199	0.4150998624
200	0.4149086984
201	0.4147577477
202	0.4144832659
203	0.4142683681
204	0.4141053041
205	0.4138626353
206	0.4136346738
207	0.413431797
208	0.413249863
209	0.4130582237
210	0.4128477558
211	0.4127030516
212	0.4125124041
213	0.4123327573
214	0.4122044452
215	0.4119959116
216	0.4118214162
217	0.4116167386
218	0.4114283117
219	0.4111674484
220	0.4109608666
221	0.4106831614
222	0.4104834731
223	0.4103209114
224	0.4101652622
225	0.4099312719
226	0.4097789764
227	0.4095329014
228	0.4094070514
229	0.4092623313
230	0.4091123438
231	0.4089124441
232	0.4087553199
233	0.4086046362
234	0.4084325504
235	0.4081775204
236	0.4080223163
237	0.4078648408
238	0.4077348423
239	0.4076074028
240	0.407475063
241	0.4072622426
242	0.407064147
243	0.4068924681
244	0.4066820955
245	0.4065353203
246	0.4063759454
247	0.4062283675
248	0.4060310364
249	0.4058680439
250	0.4057379929
251	0.4055941455
252	0.4054581849
253	0.405247825
254	0.4050001399
255	0.404898324
256	0.4047956753
257	0.4046377484
258	0.4044464477
259	0.4042165009
260	0.4041515843
261	0.4039193789
262	0.4038063002
263	0.4035617781
264	0.4033764362
265	0.4031636095
266	0.4030564833
267	0.4029476961
268	0.4027078946
269	0.402497611
270	0.4023062245
271	0.402122035
272	0.402022872
273	0.4018641869
274	0.4017572578
275	0.4016015593
276	0.4014077997
277	0.4012483835
278	0.4010892709
279	0.400972681
280	0.4008033466
281	0.4006195672
282	0.4004660034
283	0.4003365215
284	0.4001986186
285	0.4000425514
286	0.3998442888
287	0.3997019259
288	0.399582154
289	0.399502004
