iter	Logloss
290	0.3992971293
291	0.3992163404
292	0.3990911706
293	0.3989482148
294	0.3987914228
295	0.3986139059
296	0.39842285
297	0.3983231751
298	0.398178765
299	0.3980378469
300	0.397883722
301	0.397734979
302	0.3976189931
303	0.3975513283
304	0.3974104214
305	0.3973371331
306	0.3972883511
307	0.3971627649
308	0.3970801306
309	0.3969562785
310	0.3968440644
311	0.3966343323
312	0.3965334558
313	0.3963860051
314	0.3962509394
315	0.3960869249
316	0.3959471019
317	0.3958310604
318	0.3957040326
319	0.3955624962
320	0.3953721317
321	0.3952516143
322	0.3951322174
323	0.3949943193
324	0.3948530722
325	0.3947193336
326	0.3947183148
327	0.3946089586
328	0.3944318565
329	0.3942966398
330	0.3941327349
331	0.394007616
332	0.3938854678
333	0.3937654988
334	0.3935881774
335	0.3934354925
336	0.393316404
337	0.3931271521
338	0.3930152098
339	0.3929276959
340	0.3927042643
341	0.3925614341
342	0.3924636014
343	0.3922994137
344	0.3920852423
345	0.3919589043
346	0.3918965165
347	0.3917842404
348	0.3916154353
349	0.3915691757
350	0.3914620352
351	0.391315589
352	0.3911385028
353	0.3909797605
354	0.390831488
355	0.3907361873
356	0.390622673
357	0.390556229
358	0.390467097
359	0.3903605223
360	0.3902651246
361	0.3902080139
362	0.3902056694
363	0.3900935761
364	0.3900232871
365	0.3898638217
366	0.3897868379
367	0.3896994623
368	0.3896116479
369	0.3894441128
370	0.3893270063
371	0.3892161798
372	0.3890920099
373	0.3889198573
374	0.3888320557
375	0.3886604849
376	0.3885766268
377	0.3884760984
378	0.3883308474
379	0.3881854455
380	0.388095897
381	0.3879854488
382	0.3878425376
383	0.3877669954
384	0.3877067153
385	0.3875843032
386	0.3874393749
387	0.3873675362
388	0.3871535365
389	0.38704065
390	0.3869284503
391	0.3868482033
392	0.3867535528
393	0.3866620175
394	0.3865743351
395	0.3864636866
396	0.3863007228
397	0.3861744738
398	0.3860949787
399	0.3860069275
